artist_id,name,popularity,followers
5I83RQZnnynCnohkLJ8vot,Kellie Coffey,19,40811
1wLeBWSGyI3mnTeiDAcgjP,Ashley Parker Angel,19,6053
18BDwIbLu8fZu7LPw9ifQN,lyaz,19,61
6KAwb5D0KanI575XxOucMt,Edens Edge,19,36652
1fAfuhIzpl0ZSaCxJ62J60,Pop Voice Nation,19,243
6FSZmn4oKr0o1UpTZ8vXMq,Matthew Schuler,19,6615
2Q8zdTu3R52vphvlTVB7Qb,The Karaoke Studio,19,1131
245ehpPuovK24LLQBWZKZ3,El Presidente,20,7
2ZMkDOXZnoLSfMgN6oQ6DY,Troy Tha Studio Rat,20,531
2c9hCQXDb2ciXrhTbhzVQi,Backtrack Professional Karaoke Band,20,1211
28yx4Aq8882xd1AivwMZLB,Brad Davis,20,412
0hweXBppoySy22Pnn6FZ7s,Las Kala,20,512
3YmywXnB2RxQ9IvUzZqvo9,Aaron Lines,20,16510
431mRqd2mlrLPMvbqar1n9,Reina,20,3182
1UxXd73KV3x4Hos5ZL7lKi,Bad Boy's Da Band,20,12300
6UKa8gyuwzx5arpY8kf9XK,Kimberley Locke,20,10222
0VqoeHbKgK8rjTpVjtip3B,Tyler Watts,20,2441
0EuSP8KnPY1qQpxLBOjBG1,Jung Tru,20,61
2Q1FIPavG8WZF33kqIP3sy,Bo Bice,20,23842
28GmLYDzZIZWQChkzH1Mgy,Cheyenne Kimball,20,46973
455ntbvzeFL1bIcEKhlebq,Diddy Featuring Keyshia Cole,20,549
18RdrdlKkNsF7XRlu3MFsa,Cast,20,358
6LXsctaxlamY9VuhxWlFH1,Spectacular! Cast,20,40194
4GZnWODgp04RCsH7kv6NLA,Sean K.,20,82
728pGpbVotlF0WU122hY7K,"C. ""Tricky"" Stewart",20,58
2IgfvpRnRRvieMOYwvI7Rr,Crystal Bowersox,20,21274
6A0fDIT1PphHIsNz4KfIK0,Ameritz Karaoke Entertainment,21,1364
2W8eAR7hLWZ9Al1Sa19nka,Mark McGuinn,21,880
3szLYtIRbEwjDXvaqKSuYv,Three The...,21,14
7IGC89BUqUzXHFocEqcoow,Kevin Denney,21,3418
7F24NJplqlEzVe5aFllcF7,Squeak E. Clean,21,1175
3E3tW69eMfAffLGgsmP3GG,Taylor Hicks,21,14749
0K1DwTQ4cfIuFUrWQ4E13Q,AG aka The Voice of Harlem,21,183
6AU5hm7RJo0j9pmsNOeJKB,Chris J,21,296
1sxu3pxg9icRUHpyWpDxz2,Vicci Martinez,21,8132
4hlUIRQCAtCnIO4mh0jvpq,Xenia,21,2192
36psi7HBMj4EEtL0Idha7k,Milo & Otis,21,7769
5CoW8VGpf9la64TUDhnkVn,Meghan Linsey,21,6565
0E8NThqr21dCUKDFEDPpuY,How I Became the Bomb,21,4089
0miRKHMzKK1xStb6AjWo7k,Chloe Kohanski,21,15022
7HnFE87CmOGp505LeDaaDf,Chandler Crump,21,4117
5FNa3QEdIYYGu1mBFIqp0T,Steve Mcdonald,22,26
3Ne68hg8d4U29OOcw3RQgp,Sylk E. Fine,22,364
1FyYqlTR8CuFH7eRGd0tpe,2gether,22,35622
2AXQzJRDvlJrq0fiVAnRy8,Lil' Romeo,22,8538
5nwMOS9spMPjD1w6AruPKl,Off The Record Karaoke,22,1302
4PsXktnr6Ff4jxNJeVuWcG,J. Cozier,22,1432
1insTr1g2lXrdbHZWihh5B,Violator,22,3047
2YvCxggokXutqFAqQ9rO0O,Mr. Tan,22,99
6RnUwB5FnD60Cfd2SlWnyi,Dubble Trubble,22,1148
2XBGYG6QSt4CYiJPPiK9mR,80-90's Top Rock Hits,22,2203
7ww48VzAt7aU7xesm7B49B,80's-90's MTV Rock Hits,22,1238
12bBoCZdPZbBEq1xHT0heD,Rebecca Lynn Howard,22,36900
77lZwVn1U7L3e85XOdx7JQ,Boomkat,22,5826
0YQiSNSBP7gpvzalY9CDrM,Lara McAllen,22,513
4LzaxCC42hkpnsbfMzk6RQ,"Michael ""5000"" Watts",22,7645
4oWRwCsvTevGlcq7OVN2Jq,Webstar,22,2362
47chVSWV06QRjDI6c3UgZK,Hit Co. Masters,22,497
0JbfYwi6VX4DlyGp0mDJnS,Ameritz Tribute Standards,22,701
3ezAJ9Kd1V7CQ7hQHijnW0,The Cover Girl,22,1803
3T3McKIMvtAX5KdEAHl9a0,Tank,22,647
4TAFRShd7vZ8HEp5yKdwo6,Soledad Brothers,23,14089
6s1dJD51qZvI2DAarg8pnE,#1 Tribute Band,23,16
2NuPFDndwjELCXN6CzFwEB,Hit Crew Masters,23,793
1SlB319k1toEaGunEFn6yq,Cyndi Thomson,23,36823
6DwFwtsHLMGyXmry54SNPZ,Midifine Systems,23,2104
4iwS6LJddmu3Rldz4aGpCi,Javier,23,4430
5UMXN6PGxu3uqDwpBSMn8A,The Roc Project,23,854
77BL4malNaiSH99GMNvOka,Blaine Larsen,23,32364
3ZajykUFFll0Xwgal0fQfO,Ferras,23,9082
3A5urS1Gh3qwxSvQgCx9ow,The Lost Trailers,23,17578
7LOWy0veNNaZqJBXnan9IG,Gianluca Cascioli,23,1179
2r7f7tP46hkr4U6nMpzzQx,Nicholas David,23,3455
0YklCNXJmtsiaFPCEjWXut,Nick Fradiani,23,13433
7FXebO7BGyGKR83AVu2Nxf,impatience2,24,174
7qNB6t3DHHTEt9EplIzpdi,Ameritz Countdown Karaoke,24,1461
6B5GFVu9wzg5rGGjpCCj9s,90's 80's Rock Hits,24,8413
0reX7t2M37jLqLy1Nj1FpT,LaTocha Scott,24,788
6xOKJrMmd7rWBy21E0F7Vk,Wacko,24,397
4ZNhMDN6XZzWiftcyjuGZa,Off The Record,24,5837
3YEJ9dU5Oz0LZS2gB2RlNO,MDMA,24,178
7h5oEr0hzlM0GFQMrgEwSo,Driicky Graham,24,25274
2COi3lJPZHP2CjJBfofGwh,Greg Bates,24,21737
3CtgjasLNN3Ym8SHm5JuJn,Singer's Edge Karaoke,24,1902
3HgDVnEnlN20dfe1vvaBXH,Sundance Head,24,12434
4Z6WehLCUZYmz0RJL8CXCw,ProSource Karaoke,25,2506
76ir7a6NKz1Cx5nixMtUxB,Duece Poppito,25,104
41gheHlTde3shn2kiwndm7,Sarina Paris,25,4122
1nK08sVhhZ5JnkFaRvNrmB,Coo Coo Cal,25,5273
5CZ7oUAqi1RHO1hO5AJ6GH,Studio Group,25,17387
1vus7FPSN3bKTHtIsTjUXh,Young Rome,25,1433
6aLDS9oOXpit8wJTtueP8g,Ameritz - Karaoke,25,9155
6fpm54DfoAd1JokubtQiNL,David Briggs,25,1073
1VSGTuDTMQZ3aKjlDNVFYH,佐倉杏子 (CV:野中藍),25,264
1UNVJFSDvwWjoRoQGDgorD,B the Star,25,3283
2epZPZ7pPLAho4JLe9UwFd,Troop 41,25,7625
3c4tvPnssdxwBlCiQJM560,Chris Richardson,25,4275
0AAUWYwZqrnuwkjMCO5OX7,Casey James,25,45447
6lhcetPeykmqxEJWU0aMcf,lamb,25,42
0eXDc4nH9o04fidVlbUecE,Alissa Violet,25,11145
229HpjJ0mDMcH3PXuj85O2,Sherhonda Gaulden,25,420
2xuavSHRMQ6dIyDjiFr8cu,3 Dope Brothas,26,2410
4WC2Edj7Ruq94JH2jkC5hB,Profyle,26,74711
